Company Name,Domain,Website,Category,Domain Rating,Organic Traffic,Organic Keywords,Contact First Name,Contact Last Name,Contact Email,Contact Job Title,Selected Video URL,Video Source,Page URL,Dubbed To,Synthesia Share Link,Synthesia GIF URL,Trim Start,Trim End,Outreach Status,Matched Customer,Customer Lifecycle,Match Type
AccountEdge,accountedge.com,https://www.accountedge.com,,57.0,6649,844,,,,,https://www.youtube.com/watch?v=tCbSdkksJ_4,found_on_page,,es,https://share.synthesia.io/4e1d4ef2-bb03-4db8-bd2c-932c0c183356,https://synthesia-ttv-data.s3.amazonaws.com/video_data/4e1d4ef2-bb03-4db8-bd2c-932c0c183356/transfers/rendered_video.gif,0:03,0:30,SAFE,,,
Contractor Foreman,contractorforeman.com,https://www.contractorforeman.com,,57.0,17086,1235,,,,,https://www.youtube.com/watch?v=P6xIg34ASVM,pre_detected,,es,https://share.synthesia.io/f578e186-bd98-470c-b5e5-ff73b6da8420,https://synthesia-ttv-data.s3.amazonaws.com/video_data/f578e186-bd98-470c-b5e5-ff73b6da8420/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
Evisort,evisort.com,https://www.evisort.com,,57.0,6200,521,,,,,https://www.youtube.com/watch?v=Kd3yhgAyQNg,pre_detected,,es,https://share.synthesia.io/36a7fbaa-ea52-45fc-af0c-adf6b7edd935,https://synthesia-ttv-data.s3.amazonaws.com/video_data/36a7fbaa-ea52-45fc-af0c-adf6b7edd935/transfers/rendered_video.gif,0:07,0:30,SAFE,,,
Hotelogix,hotelogix.com,https://www.hotelogix.com,,57.0,9832,933,,,,,https://www.youtube.com/watch?v=IKq_NbBO3Jw,pre_detected,,es,https://share.synthesia.io/c35c4710-0685-488c-b510-536723ce5870,https://synthesia-ttv-data.s3.amazonaws.com/video_data/c35c4710-0685-488c-b510-536723ce5870/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
Botkeeper,botkeeper.com,https://www.botkeeper.com,,56.0,2793,861,,,,,https://www.youtube.com/watch?v=Q3qPyZDzvmY,pre_detected,,es,https://share.synthesia.io/1518fefe-833f-4b20-9b0d-8878272b9acf,https://synthesia-ttv-data.s3.amazonaws.com/video_data/1518fefe-833f-4b20-9b0d-8878272b9acf/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
Cincom,cincom.com,https://www.cincom.com,,56.0,7067,1186,,,,,https://www.youtube.com/watch?v=ZIs7IATuxhQ,pre_detected,,es,https://share.synthesia.io/3e66610b-277b-42e3-a812-b4da5c8c54fb,https://synthesia-ttv-data.s3.amazonaws.com/video_data/3e66610b-277b-42e3-a812-b4da5c8c54fb/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
GUIDEcx,guidecx.com,https://www.guidecx.com,,56.0,10800,251,,,,,https://www.youtube.com/watch?v=TE0dStiAJW8,pre_detected,,es,https://share.synthesia.io/0af45d3a-794f-42ed-8721-3119b8d82280,https://synthesia-ttv-data.s3.amazonaws.com/video_data/0af45d3a-794f-42ed-8721-3119b8d82280/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
Influ2,influ2.com,https://www.influ2.com,,56.0,2841,217,,,,,https://www.youtube.com/watch?v=mshVZ4q1Y78,pre_detected,,es,https://share.synthesia.io/cc337238-d0e5-4fcf-a33e-233a455f17b2,https://synthesia-ttv-data.s3.amazonaws.com/video_data/cc337238-d0e5-4fcf-a33e-233a455f17b2/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
Berrycast,berrycast.com,https://www.berrycast.com,,55.0,881,174,,,,,https://www.youtube.com/watch?v=f1w9aovcKdQ,pre_detected,,es,https://share.synthesia.io/e089af17-ba12-40ee-9e66-b8f6380be704,https://synthesia-ttv-data.s3.amazonaws.com/video_data/e089af17-ba12-40ee-9e66-b8f6380be704/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
Function Point,functionpoint.com,https://www.functionpoint.com,,55.0,2520,308,,,,,https://www.youtube.com/watch?v=8wzuIgf9QNo,pre_detected,,es,https://share.synthesia.io/f5920e8d-fd40-4f11-aa1f-e108729dc6ed,https://synthesia-ttv-data.s3.amazonaws.com/video_data/f5920e8d-fd40-4f11-aa1f-e108729dc6ed/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
AgWorld,agworld.com,https://www.agworld.com,,54.0,3004,62,,,,,https://www.youtube.com/watch?v=z19aly3H48c,pre_detected,,es,https://share.synthesia.io/06574090-b189-4a5c-8ede-71536dfd89ab,https://synthesia-ttv-data.s3.amazonaws.com/video_data/06574090-b189-4a5c-8ede-71536dfd89ab/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
Genius ERP,geniuserp.com,https://www.geniuserp.com,,54.0,9802,1521,,,,,https://www.youtube.com/watch?v=JQudE-PH1Ow,pre_detected,,es,https://share.synthesia.io/34150a60-e884-4b94-b119-55b7b0733912,https://synthesia-ttv-data.s3.amazonaws.com/video_data/34150a60-e884-4b94-b119-55b7b0733912/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
GoTab,gotab.com,https://www.gotab.com,,54.0,1676,490,,,,,https://vimeo.com/1115903616,found_on_page,,es,https://share.synthesia.io/c65377ea-e2e6-476f-86fb-7cea8e633bc6,https://synthesia-ttv-data.s3.amazonaws.com/video_data/c65377ea-e2e6-476f-86fb-7cea8e633bc6/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
Jonas Fitness,jonasfitness.com,https://www.jonasfitness.com,,54.0,88,41,,,,,https://www.youtube.com/watch?v=dW001yeMDHA,pre_detected,,es,https://share.synthesia.io/492ee4cc-b372-46c1-b543-accccc04f2d1,https://synthesia-ttv-data.s3.amazonaws.com/video_data/492ee4cc-b372-46c1-b543-accccc04f2d1/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
Jolt,jolt.com,https://www.jolt.com,,53.0,9286,1264,,,,,https://www.youtube.com/watch?v=4EYEvrY6ikc,found_on_page,,es,https://share.synthesia.io/e89575ef-6a67-4ee3-879b-c444984ec9f5,https://synthesia-ttv-data.s3.amazonaws.com/video_data/e89575ef-6a67-4ee3-879b-c444984ec9f5/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
Journyx,journyx.com,https://www.journyx.com,,53.0,1248,284,,,,,https://www.youtube.com/watch?v=YOff-m-Am_0,found_on_page,,es,https://share.synthesia.io/f69c4620-6c00-4e40-93d8-2db129538eaa,https://synthesia-ttv-data.s3.amazonaws.com/video_data/f69c4620-6c00-4e40-93d8-2db129538eaa/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
ActiveFence,alice.io,https://alice.io,,52.0,1556,19,,,,,https://vimeo.com/1153868763,found_on_page,,es,https://share.synthesia.io/d6124e2e-1277-4c99-8a03-dfabfa44c4f6,https://synthesia-ttv-data.s3.amazonaws.com/video_data/d6124e2e-1277-4c99-8a03-dfabfa44c4f6/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
AgentSync,agentsync.io,https://agentsync.io/,,51.0,14565,2775,,,,,https://www.youtube.com/watch?v=zEVfohnQpDw,pre_detected,,es,https://share.synthesia.io/46231c7d-d9c3-43cc-9f4a-d3e477b63438,https://synthesia-ttv-data.s3.amazonaws.com/video_data/46231c7d-d9c3-43cc-9f4a-d3e477b63438/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
Jungo,ijungo.com,https://ijungo.com/video-emails/,,48.0,3338,224,,,,,https://www.youtube.com/watch?v=SCOzdRxtAbI,pre_detected,,es,https://share.synthesia.io/54705b5a-3765-48f3-9f69-533a6c87cca2,https://synthesia-ttv-data.s3.amazonaws.com/video_data/54705b5a-3765-48f3-9f69-533a6c87cca2/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
1CRM,1crm.com,https://www.1crm.com,,47.0,2116,303,,,,,https://www.youtube.com/watch?v=loXOCNRDEsk,youtube_channel,,es,https://share.synthesia.io/6e9a8737-582e-42bb-8dde-e9aa3ebc90e8,https://synthesia-ttv-data.s3.amazonaws.com/video_data/6e9a8737-582e-42bb-8dde-e9aa3ebc90e8/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
Clientpoint,clientpoint.net,https://www.clientpoint.net/blog/selling-through-covid-19-and-beyond-creating-connection-on-video-0-0-0,,47.0,989,314,,,,,https://vimeo.com/431914067,found_on_page,,es,https://share.synthesia.io/8c7a4269-1388-46bc-8a24-1b3f83209d2d,https://synthesia-ttv-data.s3.amazonaws.com/video_data/8c7a4269-1388-46bc-8a24-1b3f83209d2d/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
EverAfter,everafter.ai,https://www.everafter.ai/happily-recordings/happily-highlight-video,,47.0,1191,395,,,,,https://fast.wistia.net/embed/iframe/k8d7krjx5c,found_on_page,,es,https://share.synthesia.io/ef081360-c665-4496-8206-7dc23d62b0c8,https://synthesia-ttv-data.s3.amazonaws.com/video_data/ef081360-c665-4496-8206-7dc23d62b0c8/transfers/rendered_video.gif,3:20,3:50,SAFE,,,
Donorbox,donorbox.com,https://www.donorbox.com,,46.0,,,,,,,https://www.youtube.com/watch?v=7pmFJ6RMG4Y,found_on_page,,es,https://share.synthesia.io/3eeb3fdb-401a-45d2-ac99-04a9238af2ef,https://synthesia-ttv-data.s3.amazonaws.com/video_data/3eeb3fdb-401a-45d2-ac99-04a9238af2ef/transfers/rendered_video.gif,0:00,0:30,SAFE,,,
Heron Data,herondata.io,https://www.herondata.io/,,34.0,2144,384,,,,,https://www.youtube.com/watch?v=KhBsb830tEc,pre_detected,,es,https://share.synthesia.io/252dcd89-2bc0-4535-b892-3d01108a62be,https://synthesia-ttv-data.s3.amazonaws.com/video_data/252dcd89-2bc0-4535-b892-3d01108a62be/transfers/rendered_video.gif,0:17,0:26,SAFE,,,
